
PLUGINS [ 413 ]

Packages table
--------------

+-------+--------------------------+-----------------------------+---------------+---------------+---------+
| Count | Name                     | Slug                        | Version       | Installed     | Enabled |
| 285   | Data Manager             | data-manager                | v1.4.1        | not installed |         |
| 286   | Tingle Form              | tingle-form                 | v1.0.3        | not installed |         |
| 287   | HTML Minifier            | html-minifier               | v1.1.3        | not installed |         |
| 288   | Nomnoml Uml Diagrams     | nomnoml-uml-diagrams        | v1.1.0        | not installed |         |
| 289   | Readability              | readability                 | v2.1.1        | not installed |         |
| 290   | One Time Login           | one-time-login              | v0.2.1        | not installed |         |
| 291   | Typography Helper        | typography-helper           | v1.1          | not installed |         |
| 292   | Google Analytics (gt...  | google-analytics            | v1.1.0        | not installed |         |
| 293   | Podcast                  | podcast                     | v3.0.7        | not installed |         |
| 294   | Maintenance              | maintenance                 | v1.3.3        | not installed |         |
| 295   | Image server (Respon...  | image-server                | v1.0.0~alpha2 | not installed |         |
| 296   | Responsive Images        | responsive-images           | v3.3.1        | not installed |         |
| 297   | Detect AdBlock           | detect-adblock              | v2.0.4        | not installed |         |
| 298   | Downloads Pro            | downloads-pro               | v1.1.0        | not installed |         |
| 299   | Login OAuth2 Extras      | login-oauth2-extras         | v2.2.0        | not installed |         |
| 300   | Editable with Conten...  | editable-contenttools       | v1.6.3        | not installed |         |
| 301   | Highlight PHP            | highlight-php               | v1.0.0        | not installed |         |
| 302   | GIS                      | gis                         | v0.1.0        | not installed |         |
| 303   | AdvancedPageCache        | advanced-pagecache          | v3.1.1        | not installed |         |
| 304   | Color Tools              | color-tools                 | v1.1.1        | not installed |         |
| 305   | SwiperJS                 | swiper-js                   | v1.1.3        | not installed |         |
| 306   | Mautic                   | mautic                      | v1.5.2        | not installed |         |
| 307   | Custom HTTP Headers      | custom-http-headers         | v1.0.1        | not installed |         |
| 308   | Shortcode Core           | shortcode-core              | v5.1.3        | not installed |         |
| 309   | Console Log              | console-log                 | v1.0.2        | not installed |         |
| 310   | Breadcrumbs              | breadcrumbs                 | v1.6.2        | not installed |         |
| 311   | Blackhole                | blackhole                   | v1.1.0        | not installed |         |
| 312   | Popular Articles         | popular-articles            | v1.0.0        | not installed |         |
| 313   | Auto SEO                 | autoseo                     | v1.4.0        | not installed |         |
| 314   | Better Typography        | better-typography           | v0.1.0        | not installed |         |
| 315   | Prism Highlight          | prism-highlight             | v3.0.0        | not installed |         |
| 316   | SimpleSearch             | simplesearch                | v2.3.0        | not installed |         |
| 317   | Plausible Analytics      | plausible                   | v0.3.4        | not installed |         |
| 318   | Whistleblower            | whistleblower               | v1.0.0        | not installed |         |
| 319   | Shortcode Chart.js++     | shortcode-chart-js-plusplus | v1.0.20       | not installed |         |
| 320   | DotEnv                   | dotenv                      | v2.1.1        | not installed |         |
| 321   | Photoswipe               | photoswipe                  | v1.2.1        | not installed |         |
| 322   | Nextcloud                | nextcloud                   | v1.0.1        | not installed |         |
| 323   | Astrobin                 | astrobin                    | v1.0.9        | not installed |         |
| 324   | ZMarkdown Engine         | zmarkdown-engine            | v1.2.0        | not installed |         |
| 325   | Sender                   | sender                      | v1.0.0        | not installed |         |
| 326   | Back to Top              | backtotop                   | v0.6.3        | not installed |         |
| 327   | Nyk Authors              | nyk-authors                 | v1.0.4        | not installed |         |
| 328   | Draft Preview            | draft-preview               | v1.0.2        | not installed |         |
| 329   | Stamp                    | stamp                       | v1.0.5        | not installed |         |
| 330   | Quick Tray Links         | quick-tray-links            | v1.1.1        | not installed |         |
| 331   | Directory Listing        | directorylisting            | v3.0.0        | not installed |         |
| 332   | Page Stats               | page-stats                  | v2.5.3        | not installed |         |
| 333   | Antispam                 | antispam                    | v1.5.7        | not installed |         |
| 334   | Timestamp                | timestamp                   | v1.0.0        | not installed |         |
| 335   | Custom Banner            | custom-banner               | v1.0.16       | not installed |         |
| 336   | Login OAuth2 Apple       | login-oauth2-apple          | v1.0.3        | not installed |         |
| 337   | Instagram Feed           | instagram-feed              | v1.1.1        | not installed |         |
| 338   | IP Blacklist             | ip-blacklist                | v1.0.7        | not installed |         |
| 339   | CNB Exchange Rates       | cnb-exchange-rates          | v1.0.0        | not installed |         |
| 340   | TNT Search               | tntsearch                   | v3.4.0        | not installed |         |
| 341   | Warm Cache               | warm-cache                  | v2.0.3        | not installed |         |
| 342   | Directory Gallery        | dir-gallery                 | v0.1.0        | not installed |         |
| 343   | Yandex Turbo             | yandex-turbo                | v0.8.0        | not installed |         |
| 344   | Custom Translate Wid...  | custom-translate-widget     | v0.2.0        | not installed |         |
| 345   | Shortcode Gallery++      | shortcode-gallery-plusplus  | v1.6.0        | not installed |         |
| 346   | YouTube                  | youtube                     | v4.2.0        | not installed |         |
| 347   | Image Captions           | image-captions              | v2.1.0        | not installed |         |
| 348   | Reading Time             | readingtime                 | v1.4.1        | not installed |         |
| 349   | Star Ratings             | star-ratings                | v2.0.2        | not installed |         |
| 350   | Login OAuth2             | login-oauth2                | v2.2.4        | not installed |         |
| 351   | Email Amazon             | email-amazon                | v1.0.0        | not installed |         |
| 352   | Email Mailersend         | email-mailersend            | v1.0.0        | not installed |         |
| 353   | Email Mandrill           | email-mandrill              | v1.0.0        | not installed |         |
| 354   | Email Sendgrid           | email-sengrid               | v1.0.0        | not installed |         |
| 355   | Email Mailgun            | email-mailgun               | v1.0.1        | not installed |         |
| 356   | Email OhMySmtp           | email-ohmysmtp              | v1.0.1        | not installed |         |
| 357   | Email Postmark           | email-postmark              | v1.0.1        | not installed |         |
| 358   | Email Gmail              | email-gmail                 | v1.0.1        | not installed |         |
| 359   | Email Mailjet            | email-mailjet               | v1.0.1        | not installed |         |
| 360   | Email Sendinblue         | email-sendinblue            | v1.0.1        | not installed |         |
| 361   | Page Toc                 | page-toc                    | v3.2.2        | not installed |         |
| 362   | License Manager          | license-manager             | v1.0.2        | not installed |         |
| 363   | LangSwitcher             | langswitcher                | v3.1.1        | not installed |         |
| 364   | Chirp                    | chrip                       | v0.1.0        | not installed |         |
| 365   | Page Inject              | page-inject                 | v2.1.6        | not installed |         |
| 366   | DevTools                 | devtools                    | v1.7.1        | not installed |         |
| 367   | Google Analytics         | ganalytics                  | v2.1.0        | not installed |         |
| 368   | Image Srcset             | imgsrcset                   | v2.1.0        | not installed |         |
| 369   | Bibliography             | bibliography                | v3.0.1        | not installed |         |
| 370   | Email                    | email                       | v4.0.4        | not installed |         |
| 371   | Static Generator         | static-generator            | v4.0.1        | not installed |         |
| 372   | IPcount                  | ipcount                     | v1.3.9        | not installed |         |
| 373   | FullCalendar             | fullcalendar                | v0.3.5        | not installed |         |
